"","CO","AB","FACID","DIS","FNAME","FSTREET","FCITY","FZIP","FSIC","COID","DISN","CHAPIS","CERR_CODE","TOGT","ROGT","COT","NOXT","SOXT","PMT","PM10T","year","address"
"232314",19,"SC",3665,"SC","METHODIST HOSPITAL OF SO CAL","300 W HUNTINGTON DR","ARCADIA","91007",8062,"LA","SOUTH COAST AQMD","","",0.410729512079583,0.17341,2.64852,1.57019,0.01891,0.23962,0.23962,2012,"300 W HUNTINGTON DR,ARCADIA, CA"
"232324",19,"SC",71144,"SC","METROPOLITAN WATER DIST OF SO CAL","700 N MORENO AVE","LA VERNE","91750",4941,"LA","SOUTH COAST AQMD","","",0.498965480213505,0.43061,1.02177,2.37292,0.00583,0.22408,0.1884376,2012,"700 N MORENO AVE,LA VERNE, CA"
"232325",19,"SC",6432,"SC","METROPOLITAN WATER DISTRICT OF SO CAL","VARIOUS LOCATIONS IN SCAQMD","LOS ANGELES","90054",9999,"LA","SOUTH COAST AQMD","","",1.26207380738281,1.16383,20.14985,0.8851,0.02715184,0.05935419,0.058508491605,2012,"VARIOUS LOCATIONS IN SCAQMD,LOS ANGELES, CA"
"232336",36,"SC",144861,"SC","MICHEL P. MINABERRY DAIRY","8920 MERRILL AVE","ONTARIO","91762",241,"SBD","SOUTH COAST AQMD","","",0,0,0,0,0,0,0,2012,"8920 MERRILL AVE,ONTARIO, CA"
"232343",30,"SC",104004,"SC","MICROMETALS, INC","5615 E LA PALMA AVE","ANAHEIM","92807",3679,"ORA","SOUTH COAST AQMD","","",10.6796394204499,9.61354,0.18515,0.5817,0.00275,0.03447,0.03447,2012,"5615 E LA PALMA AVE,ANAHEIM, CA"
"232378",36,"SC",146989,"SC","MIERSMA DAIRY #1, HARLAN E. MIERSMA","8919 CHINO AVE","ONTARIO","91761",241,"SBD","SOUTH COAST AQMD","","",8.37997423418265,5.85425,0,0,0,3.43184,1.679199312,2012,"8919 CHINO AVE,ONTARIO, CA"
"232391",19,"SC",155877,"SC","MILLERCOORS, LLC","15801 E 1ST ST","IRWINDALE","91706",2082,"LA","SOUTH COAST AQMD","","",167.750875754151,101.7465,40.28314,12.22012,0.30528,3.67142,2.86915438,2012,"15801 E 1ST ST,IRWINDALE, CA"
"232394",30,"SC",1082,"SC","MILLS COLLISION CENTER","1600 W LINCOLN AVE","ANAHEIM","92801",5511,"ORA","SOUTH COAST AQMD","","",0.00686428750639728,0.005892,0.00336,0.01249,7e-05,0.00072,0.00072,2012,"1600 W LINCOLN AVE,ANAHEIM, CA"
"232395",19,"SC",9095,"SC","MILLS IRON WKS INC","14834 S MAPLE AVE","GARDENA","90248",3599,"LA","SOUTH COAST AQMD","","",0.0933722005954666,0.07335,0.07292,0.26195,0.0012,0.07459,0.0662628,2012,"14834 S MAPLE AVE,GARDENA, CA"
"232401",19,"SC",138767,"SC","MIMI LONDON, INC.","12843 MUSCATINE ST","ARLETA","91331",2511,"LA","SOUTH COAST AQMD","","",0.149874490383754,0.12486,0,0,0,0.00147,0.0014112,2012,"12843 MUSCATINE ST,ARLETA, CA"
"232403",36,"SC",144860,"SC","MINABERRY DAIRY, #1","8888 EUCALYPTUS AVE","ONTARIO","91762",241,"SBD","SOUTH COAST AQMD","","",0,0,0,0,0,0,0,2012,"8888 EUCALYPTUS AVE,ONTARIO, CA"
"232425",36,"SC",104234,"SC","MISSION FOODS CORPORATION","11559 JERSEY BLVD","RANCHO CUCAMONGA","91730",2099,"SBD","SOUTH COAST AQMD","","",3.5210216011369,1.66604,4.35032,8.07265,0.07436,2.07902,1.4889891,2012,"11559 JERSEY BLVD,RANCHO CUCAMONGA, CA"
"232427",30,"SC",83220,"SC","MISSION HOSPITAL","27700 MEDICAL CENTER RD","MISSION VIEJO","92691",8060,"ORA","SOUTH COAST AQMD","","",1.47341044913869,1.15357,1.49929,1.99499,0.01037441,0.1503,0.14981448,2012,"27700 MEDICAL CENTER RD,MISSION VIEJO, CA"
"232437",33,"SC",80373,"SC","MISSION RUBBER COMPANY, LLC","1660 LEESON LN","CORONA","92879",3069,"RIV","SOUTH COAST AQMD","","",2.39586352260439,1.71481,0.00022,0.00084,3.9e-06,4.3917,3.0890954,2012,"1660 LEESON LN,CORONA, CA"
"232453",33,"SC",103673,"SC","MITCHELL RUBBER PRODUCTS INC","10220 SAN SEVAINE WAY","MIRA LOMA","91752",3061,"RIV","SOUTH COAST AQMD","","",3.64672793539002,2.58272,0.96049,1.14345,0.00685,0.95172,0.62083992,2012,"10220 SAN SEVAINE WAY,MIRA LOMA, CA"
"232457",36,"SC",39855,"SC","MIZKAN AMERICAS, INC","10037 E 8TH ST","RANCHO CUCAMONGA","91730",2099,"SBD","SOUTH COAST AQMD","","",15.0038524451185,10.44483,0.86607,1.03972,0.00616525,0.76286,0.27726398,2012,"10037 E 8TH ST,RANCHO CUCAMONGA, CA"
"232461",19,"SC",104806,"SC","MM LOPEZ ENERGY LLC","11950 LOPEZ CANYON RD","SYLMAR","91342",4911,"LA","SOUTH COAST AQMD","","",69.8238512035011,6.3819,86.37264,29.25927,1.28814,2.18433,2.17122402,2012,"11950 LOPEZ CANYON RD,SYLMAR, CA"
"232462",30,"SC",117297,"SC","MM PRIMA DESHECHA ENERGY, LLC","32250 LA PATA RD","SAN JUAN CAPISTRANO","92675",4911,"ORA","SOUTH COAST AQMD","","",97.7297592997812,8.9325,140.44759,32.91297,7.61579,20.39263,20.27027422,2012,"32250 LA PATA RD,SAN JUAN CAPISTRANO, CA"
